emp_no,first_name,last_name,from_date,to_date,titles,dept_name
43594,Moni,Hoogerwoord,1996-08-05,9999-01-01,Senior Staff,Sales
43605,Boalin,Rodite,1999-11-19,9999-01-01,Senior Staff,Sales
43616,Conor,Montemayor,1996-11-10,9999-01-01,Staff,Research
43624,Tokuyasu,Pesch,1992-03-26,9999-01-01,Senior Staff,Sales
43627,Jungsoon,Armand,1987-08-05,1996-08-04,Engineer,Production
43649,Idoia,Petersohn,1991-02-23,9999-01-01,Senior Staff,Marketing
43659,Aron,Pouyioutas,1997-12-24,9999-01-01,Senior Staff,Sales
43678,Shawna,Bernick,1991-07-23,9999-01-01,Senior Staff,Sales
43689,Almudena,Bugrara,1992-07-30,9999-01-01,Senior Staff,Sales
43691,Kazuhira,Baalen,1987-11-24,1996-11-23,Engineer,Development
43708,Zhongwei,Streng,1986-08-26,1993-08-26,Engineer,Research
43709,Mohua,Munck,1997-06-20,9999-01-01,Staff,Sales
43727,Mats,Kilgore,1994-10-30,1999-10-30,Engineer,Development
43737,Debatosh,Beerel,1993-05-04,9999-01-01,Senior Engineer,Quality Management
43745,Temple,Thambidurai,2001-11-10,9999-01-01,Senior Staff,Sales
43756,Minghong,Himler,1993-10-13,9999-01-01,Senior Staff,Sales
43776,Xuedong,Feldhoffer,2002-01-26,9999-01-01,Senior Staff,Marketing
43783,Houman,Hmelo,1990-01-07,1998-01-07,Assistant Engineer,Quality Management
43806,Chenye,Fontan,1995-01-13,9999-01-01,Senior Staff,Human Resources
43820,Keung,Botman,1994-04-26,9999-01-01,Staff,Human Resources
43854,Kwee,Lally,2000-07-31,9999-01-01,Senior Staff,Research
43878,Karoline,Furedi,1988-10-19,1993-10-19,Engineer,Quality Management
43883,Zhigen,Aseltine,1992-01-23,9999-01-01,Senior Staff,Research
43887,Kwan,Giveon,1999-03-11,9999-01-01,Senior Staff,Research
43900,Monique,Thombley,1999-09-11,9999-01-01,Senior Staff,Marketing
43932,Zhensheng,Seiwald,1987-02-13,9999-01-01,Senior Engineer,Development
43941,Khatoun,Zambonelli,1987-06-16,9999-01-01,Senior Staff,Finance
43942,Bedir,Rassart,1985-10-11,1994-10-11,Engineer,Production
43945,Guozhong,Thisen,1991-11-18,1996-11-17,Engineer,Development
43946,Kankanahalli,Swist,1991-11-23,9999-01-01,Senior Staff,Research
43948,Kwangyoen,Kroha,1996-06-11,9999-01-01,Senior Staff,Finance
43963,Sanjeeva,Covnot,1985-04-01,1992-04-01,Engineer,Production
43965,Syozo,Hasham,1989-08-07,9999-01-01,Senior Staff,Sales
43966,Serif,Miculan,1988-09-28,1997-09-28,Engineer,Production
43983,Goa,Capobianchi,1987-11-29,1993-11-28,Engineer,Quality Management
43986,Ghassan,Haumacher,1989-01-30,9999-01-01,Technique Leader,Production
43996,Hiroyasu,Bodoff,1988-06-24,1995-06-25,Assistant Engineer,Production
44011,Panayotis,Karner,1989-10-23,1998-10-23,Engineer,Development
44015,Yuguang,Limongiello,1996-11-24,9999-01-01,Staff,Sales
44022,Chiranjit,Dayang,1999-09-23,9999-01-01,Senior Engineer,Production
44029,Karlis,Heping,1991-12-24,9999-01-01,Senior Staff,Research
44042,Susuma,Ladret,2002-03-04,9999-01-01,Senior Staff,Sales
44043,Dmitri,Lakshmanan,1995-03-10,2001-03-09,Engineer,Production
44060,Luigi,Brattka,1997-06-07,2002-06-07,Engineer,Development
44070,Luerbio,Onuegbe,1999-04-21,9999-01-01,Senior Staff,Sales
44087,Claudi,Glinert,1986-12-24,1994-12-24,Engineer,Production
44088,Uwe,Ohori,1996-11-06,9999-01-01,Senior Staff,Customer Service
44097,Shim,Luga,1986-10-28,9999-01-01,Senior Engineer,Quality Management
44099,Shridhar,Gruenwald,1993-02-27,9999-01-01,Senior Staff,Sales
44100,Guozhong,Bresenham,1988-08-02,1993-08-02,Engineer,Quality Management
44110,Duri,Kalloufi,1994-02-03,9999-01-01,Senior Staff,Customer Service
44111,Sugwoo,Streit,1993-07-23,9999-01-01,Senior Staff,Sales
44125,Douadi,Conia,1987-07-04,9999-01-01,Senior Staff,Sales
44130,Zongyan,Winter,1997-08-13,9999-01-01,Senior Engineer,Development
44135,JoAnna,Neimat,1999-08-02,9999-01-01,Senior Staff,Research
44148,Fun,Marchesini,1988-12-06,9999-01-01,Senior Staff,Research
44164,Becky,McClure,1997-05-09,9999-01-01,Engineer,Development
44165,Greger,Heuser,1988-06-23,9999-01-01,Senior Staff,Research
44178,Jackson,Schmezko,1992-07-06,9999-01-01,Senior Staff,Sales
44184,Maya,Birnbaum,1988-03-01,1995-03-02,Engineer,Research
44189,Shaibal,Mitzlaff,1997-01-27,9999-01-01,Engineer,Development
44193,Fatemeh,Billingsley,1999-01-03,9999-01-01,Senior Engineer,Development
44195,Hatem,Boyle,1987-06-03,1996-06-02,Engineer,Production
44197,Geraldo,Krichel,1995-09-11,9999-01-01,Senior Staff,Human Resources
44224,Shietung,Selenyi,1986-10-22,9999-01-01,Senior Engineer,Research
44229,Bojan,Luft,1987-06-09,1993-06-08,Assistant Engineer,Development
44240,Deniz,Famili,1988-09-06,1996-09-06,Engineer,Development
44251,Martine,Haldar,1987-03-03,1992-03-02,Engineer,Quality Management
44256,Doohun,Krzyzanowski,1987-03-01,1993-02-28,Engineer,Quality Management
44262,Sanjit,Petereit,1987-04-01,9999-01-01,Senior Staff,Finance
44285,Keiichiro,Chimia,1995-07-15,9999-01-01,Assistant Engineer,Production
44288,Ingemar,Baja,1993-01-28,9999-01-01,Senior Staff,Customer Service
44292,Alexius,Georg,1987-01-18,1993-01-17,Engineer,Research
44293,Sachem,Vakili,1994-05-22,9999-01-01,Senior Staff,Customer Service
44301,Fatemeh,Nivat,1993-11-06,9999-01-01,Senior Engineer,Production
44326,Dmitri,Verspoor,1995-02-15,9999-01-01,Senior Staff,Sales
44354,Basant,Garnier,1985-02-27,9999-01-01,Senior Engineer,Development
44366,Alois,Chinal,1997-08-25,9999-01-01,Senior Staff,Customer Service
44375,Emran,Isard,1992-02-24,1997-02-23,Engineer,Production
44392,Bedir,Shigei,1985-03-11,1991-03-11,Engineer,Quality Management
44393,Turgut,Douceur,1991-03-09,2000-03-08,Engineer,Production
44394,Eran,Thombley,1997-12-19,9999-01-01,Technique Leader,Production
44395,Mario,Eastman,1986-01-25,1992-01-25,Engineer,Production
44397,Moon,Mitsuhashi,1985-05-14,1990-05-14,Engineer,Development
44425,Yinghua,Businaro,1993-05-24,9999-01-01,Senior Staff,Finance
44435,Odinaldo,Spelt,1995-03-12,9999-01-01,Senior Staff,Human Resources
44442,Atilio,Gente,1995-08-04,9999-01-01,Senior Staff,Marketing
44445,Sreenivas,Heinisuo,1987-02-04,1993-02-03,Engineer,Development
44454,Toshimo,Besancenot,1994-05-09,9999-01-01,Senior Staff,Customer Service
44459,Aluzio,Panienski,1995-11-14,9999-01-01,Senior Staff,Sales
44465,Brigham,Teitelbaum,1996-03-16,9999-01-01,Senior Staff,Sales
44467,Zhanqiu,Ramsak,1987-01-11,9999-01-01,Senior Engineer,Production
44472,Mingdong,Snyers,1987-07-13,1996-07-12,Engineer,Development
44484,Pasqua,Gelosh,1991-12-29,9999-01-01,Senior Staff,Sales
44485,Jaideep,Thebaut,1999-06-05,9999-01-01,Staff,Customer Service
44490,Nalini,Lorcy,1987-06-07,1994-06-07,Engineer,Production
44507,Toong,Ananiadou,1987-07-30,1994-07-30,Engineer,Production
44520,Baruch,Engberts,1993-07-30,9999-01-01,Senior Engineer,Development
44525,Christophe,Fetvedt,1998-01-20,9999-01-01,Senior Staff,Customer Service
44539,Kwangjo,Buchter,1994-09-12,9999-01-01,Senior Staff,Sales
44558,Zhiguo,Wielonsky,1995-05-31,2000-05-30,Engineer,Production
44566,Yuqun,Bolotov,1996-09-14,9999-01-01,Engineer,Production
44571,Tooru,Pashtan,1999-08-21,9999-01-01,Engineer,Production
44575,Toney,Pocchiola,1986-09-04,1991-09-04,Assistant Engineer,Quality Management
44589,Iara,Lanzelotte,1987-04-26,1996-04-25,Engineer,Development
44591,Karlis,Laventhal,1993-05-20,9999-01-01,Senior Engineer,Development
44607,Sachem,Valtorta,1994-11-18,9999-01-01,Senior Staff,Sales
44608,Sudhanshu,Herber,1986-06-20,1992-06-19,Engineer,Production
44609,Zhongwei,Feinberg,1999-08-25,9999-01-01,Engineer,Production
44610,Aamod,Cronan,1990-02-10,1997-02-10,Engineer,Production
44616,Abdelkader,Pettis,1988-08-31,9999-01-01,Senior Staff,Customer Service
44639,Odysseas,Anick,1998-01-30,9999-01-01,Engineer,Production
44644,Shigenori,Mitchem,1986-06-07,1991-06-07,Engineer,Production
44664,Zhaofang,Luke,1995-12-14,9999-01-01,Senior Staff,Human Resources
44682,Souichi,Boissier,2002-06-19,9999-01-01,Senior Staff,Sales
44691,Munir,Montresor,1986-03-12,9999-01-01,Senior Staff,Sales
44695,Sadok,Baek,1997-10-23,9999-01-01,Senior Staff,Research
44716,Georgy,Haddadi,1986-04-20,1994-04-20,Engineer,Development
44721,Dinah,Zielinski,1987-01-28,1993-01-27,Engineer,Development
44734,Shay,Vandervoorde,1996-11-03,9999-01-01,Engineer,Development
44737,Vishu,Juneja,1989-08-25,1994-08-25,Engineer,Development
44740,Georg,Uhrik,1988-05-23,9999-01-01,Senior Engineer,Development
44750,Bernice,Coors,1997-04-25,9999-01-01,Senior Staff,Sales
44764,Ayonca,Ghemri,1999-09-16,9999-01-01,Staff,Human Resources
44784,Mohammed,Koblick,1990-05-15,1997-05-15,Engineer,Production
44785,Phule,Kriebel,1995-06-23,9999-01-01,Senior Staff,Sales
44806,Vishu,Schwabacher,1992-09-19,9999-01-01,Senior Engineer,Development
44809,Nagui,Gill,1988-04-14,1994-04-14,Engineer,Production
44819,Chiranjit,Terekhov,1993-04-22,9999-01-01,Senior Staff,Human Resources
44821,Martien,Covnot,1989-09-15,9999-01-01,Senior Engineer,Development
44839,Xudong,Greibach,1992-07-17,1997-07-17,Engineer,Production
44856,Amabile,Seuren,2001-07-04,9999-01-01,Senior Staff,Sales
44869,JoAnne,Serov,1993-04-22,9999-01-01,Senior Staff,Marketing
44873,Eberhardt,Raczkowsky,2002-07-14,9999-01-01,Senior Staff,Sales
44874,Janche,Cools,1990-10-15,9999-01-01,Senior Staff,Research
44875,Goh,Reinhart,2002-04-26,9999-01-01,Senior Staff,Customer Service
44883,Kagan,Cichocki,1988-11-19,1995-11-20,Engineer,Development
44886,Poornachandra,Kuszyk,1991-09-18,2000-09-17,Engineer,Quality Management
44891,Cheong,Zaumen,1987-04-21,1994-04-21,Engineer,Development
44908,Kamakshi,Pehl,1987-05-24,1995-05-24,Engineer,Production
44913,Vishu,Cappelli,1988-06-05,1995-06-06,Engineer,Production
44924,Divier,Azevdeo,1997-04-20,9999-01-01,Senior Staff,Sales
44938,Valdiodio,Potthoff,1993-07-10,9999-01-01,Senior Staff,Sales
44943,Lalit,Hmelo,1985-06-17,1992-06-17,Assistant Engineer,Production
44952,Zeydy,Munoz,1988-04-18,1994-04-18,Engineer,Production
44955,Aram,Kawashima,1995-08-13,9999-01-01,Engineer,Development
44963,Amabile,Gimbel,1989-12-26,1996-12-26,Engineer,Development
44965,Tetsurou,Suppi,1988-10-19,9999-01-01,Senior Engineer,Development
44966,Foong,Beetstra,1995-01-19,2001-01-18,Engineer,Production
44988,Oldrich,Kleiser,1997-07-24,9999-01-01,Engineer,Production
44992,Kendra,Perna,1988-02-02,9999-01-01,Technique Leader,Quality Management
44998,Vishv,Kaiser,1998-05-29,9999-01-01,Engineer,Production
45002,Leif,Klyachko,1987-11-06,1995-11-06,Engineer,Production
45006,Vishv,Liedekerke,1991-04-12,9999-01-01,Senior Engineer,Development
45014,Souichi,Orsini,1985-07-18,9999-01-01,Senior Staff,Customer Service
45042,Marek,Heinisuo,1985-11-20,9999-01-01,Technique Leader,Production
45053,Ymte,Zongker,1986-11-05,9999-01-01,Technique Leader,Customer Service
45055,Xiaobin,Radhakrishnan,1993-08-23,2000-08-23,Engineer,Development
45058,Shuzo,Mahmud,1986-01-18,1994-01-18,Engineer,Production
45062,Aemilian,Hammerschmidt,2001-09-03,9999-01-01,Senior Staff,Sales
45066,Seongbin,Gadepally,1985-08-29,1991-08-29,Engineer,Quality Management
45069,Lenore,Valette,1986-07-04,1995-07-04,Engineer,Development
45070,Ennio,Frolund,1988-02-21,1994-02-20,Engineer,Development
45092,Francesca,Chandrasekhar,1995-11-25,9999-01-01,Staff,Sales
45121,Menkae,Christianini,1993-12-03,2000-12-03,Engineer,Development
45130,Bezalel,Puppe,1995-02-01,9999-01-01,Senior Staff,Human Resources
45138,Miomir,Karcich,1992-08-25,9999-01-01,Senior Staff,Sales
45142,Perla,Rehfuss,1986-11-14,1991-11-14,Engineer,Production
45145,Almudena,Zumaque,1986-08-10,9999-01-01,Senior Staff,Finance
45163,Peer,Flowers,1989-05-26,1996-05-26,Assistant Engineer,Production
45166,Licheng,Lorho,1998-10-29,9999-01-01,Senior Staff,Human Resources
45170,Irena,Rissanen,1995-12-15,9999-01-01,Senior Staff,Customer Service
45172,Saeko,Radhakrishnan,1992-10-20,2001-10-20,Engineer,Development
45177,Alassane,Iacovou,1996-08-07,9999-01-01,Engineer,Customer Service
45193,Reinhard,Lubachevsky,1993-11-11,9999-01-01,Senior Staff,Finance
45200,Teunis,Chvatal,1987-07-29,9999-01-01,Technique Leader,Development
45204,Alexius,Candan,1986-05-05,1995-05-05,Engineer,Development
45209,Yinghua,Cardazo,1998-02-15,9999-01-01,Senior Staff,Marketing
45216,Gou,Ballarin,1987-05-27,1993-05-26,Engineer,Development
45217,Marsal,Pena,2002-07-29,9999-01-01,Senior Staff,Research
45228,Utpal,Unni,1994-05-09,2000-05-08,Engineer,Production
45232,Chaosheng,Senzako,1993-08-14,9999-01-01,Technique Leader,Development
45244,Joydip,Lueh,1985-11-07,9999-01-01,Senior Staff,Customer Service
45245,Margo,Ishibashi,1991-03-20,9999-01-01,Senior Staff,Customer Service
45251,Billur,Brandsma,1994-05-08,9999-01-01,Senior Staff,Finance
45261,George,Larfeldt,1993-06-17,9999-01-01,Senior Staff,Finance
45269,Arve,Avouris,1991-09-13,9999-01-01,Senior Staff,Sales
45275,Arun,Swan,1986-01-21,9999-01-01,Technique Leader,Production
45290,Thanasis,Varman,1986-02-17,1994-02-17,Engineer,Development
45293,Duke,Lakshmanan,1992-01-01,9999-01-01,Technique Leader,Production
45298,Shay,Valtorta,1993-08-24,9999-01-01,Senior Staff,Customer Service
45306,Pranjal,Rajaraman,1992-03-19,1997-03-19,Engineer,Production
45311,Zengping,Talmor,1993-01-23,9999-01-01,Senior Staff,Sales
45313,DAIDA,Schusler,1999-04-20,9999-01-01,Senior Staff,Sales
45314,Zhigen,Motley,1993-03-10,9999-01-01,Senior Staff,Research
45318,Franziska,Dalton,1986-08-09,1991-08-09,Assistant Engineer,Development
45327,Khedija,Karner,1995-11-19,9999-01-01,Staff,Human Resources
45331,Keung,Peot,1985-04-24,9999-01-01,Senior Engineer,Development
45333,Leszek,Waeselynck,2000-01-15,9999-01-01,Senior Engineer,Development
45342,Fatemeh,Sluis,1999-09-26,9999-01-01,Engineer,Customer Service
45344,Shigeo,Servieres,1992-04-25,2001-04-25,Engineer,Development
45352,Yuichiro,Zallocco,1998-11-13,9999-01-01,Engineer,Research
45363,Kenroku,Hainaut,1985-02-21,1994-02-21,Engineer,Development
45364,Pantung,Picht,1990-03-20,9999-01-01,Technique Leader,Production
45366,Ranan,Gargeya,1996-04-05,9999-01-01,Senior Staff,Research
45376,Mabo,Toyoshima,1990-07-17,9999-01-01,Senior Staff,Marketing
45377,Temple,Flasterstein,1986-08-29,9999-01-01,Senior Staff,Sales
45382,Yoshimitsu,Stassinopoulos,1988-03-01,1997-03-01,Engineer,Development
45390,Sedat,Alameldin,1999-12-13,9999-01-01,Senior Staff,Sales
45402,Kwok,Liesche,1998-01-25,9999-01-01,Staff,Human Resources
45416,Avishai,Percebois,1992-12-04,9999-01-01,Senior Staff,Marketing
45432,Richard,Barreiro,1986-03-24,9999-01-01,Senior Staff,Sales
45436,Gila,Limongiello,1997-01-17,9999-01-01,Senior Staff,Sales
45460,Mang,Rande,1985-11-18,9999-01-01,Technique Leader,Development
45466,Guiseppe,Tomescu,1998-12-07,9999-01-01,Staff,Sales
45467,Huican,Bahk,1988-02-14,1995-02-14,Engineer,Development
45468,Padma,Pell,1994-06-24,2000-06-23,Engineer,Production
45479,Ferdinand,Krupka,1997-10-09,9999-01-01,Senior Engineer,Development
45488,Shigehiro,Shackel,1988-01-27,9999-01-01,Senior Staff,Sales
45507,Xiong,Lamparter,1988-04-16,9999-01-01,Senior Engineer,Development
45514,Jessie,Alpin,1999-08-19,9999-01-01,Staff,Sales
45534,Perla,Jullig,1998-12-20,9999-01-01,Staff,Sales
45537,Ottavia,Wissmann,1987-04-22,1994-04-22,Engineer,Development
45544,Candido,Coombs,1999-09-03,9999-01-01,Staff,Research
45545,Along,Bruckman,1999-08-13,9999-01-01,Engineer,Quality Management
45546,Gopalakrishnan,Lanphier,1996-02-27,9999-01-01,Senior Staff,Sales
45550,Shaowen,McFarlin,1985-05-21,1993-05-21,Engineer,Production
45552,Aloys,Albarhamtoshy,1987-08-17,9999-01-01,Senior Staff,Sales
45557,Girolamo,Legleitner,1996-05-25,9999-01-01,Engineer,Development
45561,Navid,Lodder,1994-06-25,2000-06-24,Engineer,Production
45566,Lena,Marsiglia,1990-06-22,9999-01-01,Senior Staff,Marketing
45570,Shuho,Schwartzburd,1988-09-27,1997-09-27,Engineer,Customer Service
45593,Xiaocheng,Litzler,1988-07-27,1993-07-27,Engineer,Production
45599,Ronnie,Harnett,1993-06-07,2000-06-07,Engineer,Production
45601,Rafael,Spell,1997-06-27,9999-01-01,Engineer,Production
45612,King,Monkewich,1986-06-18,1993-06-18,Engineer,Production
45629,Guoxiang,Nanard,1999-05-07,9999-01-01,Staff,Customer Service
45634,Barry,Ghemri,1989-03-30,1994-03-30,Engineer,Development
45645,Hausi,Desikan,1997-07-13,9999-01-01,Staff,Finance
45657,Jianhao,Hedayat,1995-02-07,9999-01-01,Engineer,Development
45658,Maja,Ebeling,1998-03-25,9999-01-01,Senior Staff,Human Resources
45669,Janalee,Boudaillier,1988-07-25,1994-07-25,Engineer,Development
45685,Anwar,Huhdanpaa,1992-02-11,9999-01-01,Senior Staff,Customer Service
45695,Danco,Kowalchuk,1985-11-21,9999-01-01,Senior Engineer,Development
45698,Sanjoy,Melichar,1993-05-15,9999-01-01,Senior Staff,Sales
45702,Peer,Showalter,1996-09-17,9999-01-01,Senior Staff,Research
45709,Oddvar,Schnelling,1987-08-12,9999-01-01,Senior Staff,Finance
45731,Naraig,Bouloucos,1986-03-12,9999-01-01,Senior Engineer,Customer Service
45732,Moheb,Gruenwald,1991-03-28,9999-01-01,Senior Staff,Finance
45743,Adas,Baaleh,2001-03-14,9999-01-01,Senior Staff,Finance
45788,Shiv,Mitsuhashi,1985-04-18,1993-04-18,Assistant Engineer,Development
45797,Chikara,Khalid,1990-12-31,1997-12-31,Engineer,Development
45798,Gad,Plotkin,1996-06-07,9999-01-01,Senior Staff,Customer Service
45803,Padma,Lanzelotte,1993-09-21,9999-01-01,Staff,Sales
45808,Yongdong,Eiron,1988-04-28,9999-01-01,Senior Engineer,Production
45809,Wilmer,Arlazarov,1993-03-25,9999-01-01,Senior Staff,Human Resources
45814,Zhenbing,Malabarba,1990-06-29,9999-01-01,Senior Staff,Human Resources
45821,Garnik,Dredge,1986-08-18,1992-08-17,Engineer,Development
45827,Ortrun,Schonegge,1985-02-13,9999-01-01,Technique Leader,Development
45828,Panayotis,Litzkow,1996-05-02,2002-05-02,Engineer,Development
45844,Patricia,Fetvedt,1993-06-12,9999-01-01,Senior Staff,Research
45854,Zsolt,Kriebel,1996-08-10,9999-01-01,Senior Staff,Human Resources
45867,Hailing,Denna,1987-06-20,9999-01-01,Senior Engineer,Development
45883,JoAnna,Maccarone,1986-08-31,9999-01-01,Senior Staff,Human Resources
45886,Ioana,Ginesta,1995-10-15,9999-01-01,Senior Staff,Research
45895,Sajjad,Vural,2001-05-06,9999-01-01,Senior Staff,Sales
45904,Arunas,DasSarma,1997-12-26,9999-01-01,Senior Engineer,Production
45908,Masasuke,Heyers,1993-09-10,2001-09-10,Engineer,Production
45915,Paddy,Gluchowski,1996-06-12,9999-01-01,Senior Staff,Sales
45919,Aemilian,Denti,1996-09-10,9999-01-01,Senior Staff,Sales
45923,Masato,Xiaoshan,1988-03-21,9999-01-01,Senior Staff,Sales
45951,Duke,Garnick,1986-10-26,9999-01-01,Technique Leader,Production
45962,Remco,Kalorkoti,1991-09-26,1998-09-26,Engineer,Quality Management
45972,Rafael,Bednarek,1988-02-04,1997-02-03,Engineer,Development
45973,Mokhtar,Bernatsky,1991-08-05,9999-01-01,Senior Staff,Sales
45977,Ulf,Wiegley,2002-06-28,9999-01-01,Senior Staff,Human Resources
45979,Uno,Colorni,1985-12-26,9999-01-01,Senior Engineer,Development
45998,Inderjeet,Rodiger,1996-06-20,9999-01-01,Staff,Human Resources
46004,Toshimori,Schlegelmilch,1998-11-13,9999-01-01,Engineer,Development
46025,Yurii,Demir,1994-05-31,2000-05-30,Assistant Engineer,Development
46026,Leon,Schrooten,1990-11-15,1996-11-14,Engineer,Customer Service
46028,Sakthirel,Emmerich,1998-09-14,9999-01-01,Senior Staff,Sales
46037,Mohit,Preusig,1985-05-21,9999-01-01,Senior Engineer,Production
46042,Youssef,Vrecion,1993-04-10,9999-01-01,Senior Staff,Marketing
46054,Udi,Bultermann,1997-01-15,9999-01-01,Engineer,Production
46055,Charlene,Fabrizio,1986-02-13,1991-02-13,Engineer,Quality Management
46059,Susumu,DuCasse,1997-05-27,9999-01-01,Staff,Sales
46066,Ennio,Conde,1989-08-12,9999-01-01,Senior Engineer,Production
46068,Laurentiu,Weisert,2001-07-12,9999-01-01,Senior Staff,Customer Service
46075,Lucien,Cunliffe,1988-08-28,1995-08-29,Engineer,Production
46079,Genevieve,Varman,1986-12-02,9999-01-01,Senior Engineer,Production
46083,Charmane,Speek,1998-07-29,9999-01-01,Engineer,Customer Service
46089,Giordano,Emden,1985-10-20,9999-01-01,Senior Staff,Research
46090,Iara,Whittlesey,1987-12-19,9999-01-01,Senior Engineer,Development
46104,Yoshinari,Kavvadias,1992-09-14,9999-01-01,Senior Staff,Research
46109,Kiyotoshi,Kragelund,2000-05-28,9999-01-01,Senior Staff,Sales
46124,Shunichi,Barinka,1997-09-19,9999-01-01,Senior Staff,Sales
46141,Sven,Nollmann,1986-02-17,1995-02-17,Engineer,Production
46159,Barun,Grabner,1988-10-17,9999-01-01,Senior Staff,Research
46164,Arumugam,Wynblatt,1986-03-31,9999-01-01,Senior Engineer,Production
46176,Hatsukazu,Murrill,1985-08-13,1991-08-13,Engineer,Production
46189,Yongdong,Reistad,1999-06-24,9999-01-01,Senior Staff,Research
46191,Hilari,Pocchiola,1993-06-06,2001-06-06,Assistant Engineer,Development
46203,Ferdinand,Dymetman,1985-06-04,9999-01-01,Senior Engineer,Development
46221,Weidon,Kobuchi,1993-09-23,9999-01-01,Assistant Engineer,Quality Management
46236,Thodoros,Edelhoff,1988-05-18,1996-05-18,Engineer,Development
46248,Leif,dAstous,1986-05-28,9999-01-01,Senior Engineer,Quality Management
46250,Yefim,Decleir,1993-06-20,9999-01-01,Senior Staff,Sales
46258,Nechama,Przulj,1995-01-08,9999-01-01,Staff,Human Resources
46260,Tze,Karlin,1999-12-31,9999-01-01,Technique Leader,Development
46261,Owen,Uehara,1999-09-30,9999-01-01,Staff,Marketing
46266,Kiam,Carrera,1995-02-15,9999-01-01,Technique Leader,Development
46272,Mong,Shiratori,1987-04-02,1996-04-01,Engineer,Production
46281,Rosine,Berztiss,1992-04-25,9999-01-01,Technique Leader,Development
46299,Constantine,Hmelo,1994-06-17,2000-06-16,Engineer,Production
46305,Yakichi,Lamba,1988-03-05,1996-03-05,Engineer,Development
46316,Padma,Karnin,1990-05-24,9999-01-01,Senior Staff,Marketing
46317,Susanta,Rebaine,1997-11-09,9999-01-01,Senior Staff,Finance
46318,Susumu,Vieth,1988-02-05,1997-02-04,Engineer,Development
46323,Masako,Tzvieli,1998-08-19,9999-01-01,Staff,Finance
46326,Harjit,Paludetto,1998-02-21,9999-01-01,Senior Staff,Human Resources
46335,Shuji,Ananiadou,1985-12-09,1992-12-09,Engineer,Quality Management
46339,Stepehn,Linares,1995-11-01,9999-01-01,Senior Staff,Marketing
46345,Ortrun,Kolvik,1988-01-26,1994-01-25,Engineer,Development
46347,Nadjib,Standera,1985-11-30,1994-11-30,Engineer,Development
46352,Unal,Zambonelli,1988-11-21,9999-01-01,Senior Staff,Marketing
46356,Sham,Przulj,1992-10-02,9999-01-01,Senior Staff,Sales
46392,Emdad,Zykh,1994-05-05,9999-01-01,Senior Staff,Research
46407,Hideyuki,Braunmuhl,1993-12-09,9999-01-01,Staff,Research
46414,Ferdinand,Schahn,1991-08-11,2000-08-10,Engineer,Production
46425,Martina,Leivant,1987-05-05,1995-05-05,Engineer,Development
46439,Ibibia,Junet,1997-05-18,9999-01-01,Senior Staff,Sales
46440,Pranav,Rosay,1994-03-28,2002-03-28,Assistant Engineer,Production
46452,Filipp,Christianini,1986-09-15,1994-09-15,Engineer,Quality Management
46457,Alenka,Keohane,1988-01-09,9999-01-01,Technique Leader,Development
46466,Eberhardt,Cusworth,1985-11-29,1991-11-29,Engineer,Production
46470,Adhemar,Rassart,1987-06-18,9999-01-01,Technique Leader,Production
46484,Neelam,Rabehasaina,1995-10-25,9999-01-01,Senior Staff,Sales
46500,Mong,Keirsey,1996-09-21,9999-01-01,Engineer,Production
46532,Siamak,Ruther,1997-02-14,9999-01-01,Senior Staff,Research
46548,Uno,Schlenzig,1987-02-10,9999-01-01,Senior Engineer,Development
46562,Tiina,Panangaden,1993-06-30,1999-06-30,Engineer,Development
46563,Marlo,Veldwijk,1988-08-26,1996-08-26,Engineer,Production
46567,Khatoun,Kirkerud,1998-01-16,9999-01-01,Staff,Sales
46574,Yuping,Sinitsyn,1995-04-12,9999-01-01,Senior Staff,Sales
46576,Kasidit,Lorys,1998-12-05,9999-01-01,Staff,Customer Service
46585,Kazuhisa,Bressoud,1996-05-19,9999-01-01,Engineer,Production
46587,Macha,Baaleh,1998-05-10,9999-01-01,Senior Staff,Sales
46619,Taizo,Docker,1994-10-23,9999-01-01,Senior Staff,Sales
46622,Filipp,Krzyzanowski,1997-07-26,9999-01-01,Assistant Engineer,Development
46630,Shao,Coorg,1985-04-05,1993-04-05,Engineer,Production
46635,Saeed,Frezza,1988-09-24,1997-09-24,Engineer,Development
46642,Masadi,Kusakabe,1997-09-26,9999-01-01,Senior Staff,Customer Service
46646,Subir,Cesareni,1997-10-28,9999-01-01,Engineer,Development
46664,Toshimori,Benveniste,1994-12-18,9999-01-01,Senior Staff,Finance
46666,Mabhin,Avouris,1993-07-17,9999-01-01,Senior Staff,Human Resources
46670,Marie,Unno,1998-04-05,9999-01-01,Staff,Marketing
46672,Heekeun,Rehfuss,1995-04-04,9999-01-01,Senior Staff,Marketing
46680,Phuoc,Fairtlough,1988-08-29,9999-01-01,Senior Staff,Sales
46683,Ger,Wynblatt,1997-01-10,9999-01-01,Staff,Sales
46685,Valter,Takanami,1987-05-03,1996-05-02,Engineer,Development
46714,Goa,Cronin,1995-07-20,9999-01-01,Technique Leader,Development
46717,Roded,Yeung,1988-05-18,1993-05-18,Engineer,Production
46721,Mang,Narlikar,1988-02-24,1993-02-23,Engineer,Production
46727,LiMin,Dratva,1998-06-28,9999-01-01,Staff,Human Resources
46730,Lakshmi,Flexer,1988-09-26,1996-09-26,Engineer,Development
